Date,Open,High,Low,Close,Volume
2007/8/7,4642.01,4687.44,4581.29,4651.23,1161810.85
2007/8/8,4614.59,4711.32,4568.7,4663.16,1189091.63
2007/8/9,4658.59,4768.89,4658.59,4754.1,976601.98
2007/8/10,4745.18,4769.62,4640.77,4749.37,1018670.58
2007/8/13,4768.62,4872.55,4728.89,4820.06,1141847.14
2007/8/14,4820.15,4876.85,4789.9,4872.79,885682.08
2007/8/15,4875.51,4916.31,4762.72,4869.88,905096.75
2007/8/16,4845.02,4845.02,4710.31,4765.45,905384.11
2007/8/17,4733.14,4814.37,4646.43,4656.57,911590.48
2007/8/20,4773.83,4906,4758.4,4904.86,991529.37
2007/8/21,4944.21,4982.98,4917.82,4955.21,1042041.09
2007/8/22,4876.35,4999.2,4861.27,4980.08,1081109.38
2007/8/23,5002.84,5050.38,4968.33,5032.49,993094.28
2007/8/24,5070.65,5125.36,5052.24,5107.67,1089956.36
2007/8/27,5144.82,5192.06,5092.08,5150.12,1161542.44
2007/8/28,5134.14,5209.51,5058.45,5194.69,1054367.39
2007/8/29,5147.71,5204.53,5063.41,5109.43,1008241.39
2007/8/30,5144.11,5186.53,5109.66,5167.88,1012105.84
2007/8/31,5184.09,5235.16,5158.37,5218.83,1035562.61
2007/9/3,5257.78,5327.54,5257.78,5321.06,1257796.49
2007/9/4,5333.4,5357.93,5265,5294.05,1204263.68
2007/9/5,5296.07,5337.93,5223.67,5310.72,962406.24
2007/9/6,5336.67,5412.32,5314.34,5393.66,1069879.66
2007/9/7,5381.19,5405.36,5269.25,5277.18,1198410.29
2007/9/10,5208.32,5356.86,5169.91,5355.29,1023682.35
2007/9/11,5362.94,5395.04,5093.92,5113.97,1100552.62
2007/9/12,5092.58,5192.3,5025.34,5172.63,970588.55
2007/9/13,5193.41,5276.77,5178.87,5273.59,865502.16
2007/9/14,5290.26,5324.44,5201.85,5312.18,946739.12
2007/9/17,5309.06,5427.17,5307.77,5421.39,1056386.09
2007/9/18,5446.73,5458.58,5339.92,5425.21,1026909.94
2007/9/19,5439.02,5447.36,5336.07,5395.27,897255
2007/9/20,5408.48,5482.43,5396.11,5470.07,865472.05
2007/9/21,5482.51,5489.07,5363.35,5454.67,928388.09
2007/9/24,5469.84,5506.06,5404.42,5485.01,817984.71
2007/9/25,5500.27,5509.23,5396.48,5425.88,965095.79
2007/9/26,5407.83,5463.9,5320.02,5338.52,636085.85
2007/9/27,5338.11,5411.19,5306.82,5409.4,588843
2007/9/28,5461.58,5560.42,5461.58,5552.3,806312.85
2007/10/8,5683.31,5729.96,5620,5692.76,959830.83
2007/10/9,5678.91,5725.41,5628.35,5715.89,832890.3
2007/10/10,5742.65,5860.86,5727.24,5771.46,924453.44
2007/10/11,5798.39,5914.77,5755.99,5913.23,947096.57
2007/10/12,5950.9,5959.36,5658.81,5903.26,1191484.32
2007/10/15,5934.78,6039.04,5866.13,6030.09,987074.42
2007/10/16,6056.95,6124.04,6040.71,6092.06,881521.59
2007/10/17,6057.43,6088.89,5982.2,6036.28,713125.88
2007/10/18,6031.92,6055.47,5804.97,5825.28,698054.25
2007/10/19,5869.12,5932.11,5766.86,5818.05,552248.92
2007/10/22,5742.79,5804.84,5654.91,5667.33,544336.74
2007/10/23,5660.07,5776.02,5574.84,5773.39,584539.68
2007/10/24,5804.02,5906.7,5793.56,5843.11,602928.31
2007/10/25,5794.22,5819.88,5546.04,5562.39,717144.48
2007/10/26,5498.86,5628.83,5462.01,5589.63,515191.75
2007/10/29,5641.98,5750.25,5617.98,5748,501644.02
2007/10/30,5769.2,5899.65,5701.34,5897.19,542788.2
2007/10/31,5984.71,6002.12,5871.48,5954.77,710295.64
2007/11/1,5978.94,6005.13,5912.5,5914.29,648851.03
2007/11/2,5812.47,5860.59,5740.4,5777.81,595415.96
2007/11/5,5748.18,5787.23,5603.47,5634.45,641325.97
2007/11/6,5593.35,5649.75,5510.16,5536.57,450680.39
2007/11/7,5565.65,5610.95,5469.76,5601.78,427303.28
2007/11/8,5559.15,5559.15,5328.2,5330.02,489246.62
2007/11/9,5276.01,5382.7,5217.63,5315.54,473412.62
2007/11/12,5181.18,5250.09,5032.58,5187.74,525827.03
2007/11/13,5239.34,5311.7,5085.44,5158.12,492373.16
2007/11/14,5246.57,5414.61,5165.06,5412.69,509928.8
2007/11/15,5391.02,5453.74,5338.91,5365.27,478194.19
2007/11/16,5273.08,5335.51,5224.31,5316.27,373873.31
2007/11/19,5325.3,5333.09,5240.42,5269.82,410977.31
2007/11/20,5230.74,5338.17,5158.54,5293.7,490573.98
2007/11/21,5307.79,5344.93,5206.57,5214.23,412316.09
2007/11/22,5113.88,5154.86,4969.89,4984.16,403703.3
2007/11/23,4946.26,5034.23,4896.99,5032.13,308729.62
2007/11/26,5102.53,5124.89,4952.43,4958.85,367557.97
2007/11/27,4919.91,4947.08,4857.04,4861.11,308338.64
2007/11/28,4870.84,4907.76,4778.73,4803.39,327567.57
2007/11/29,4870.86,5011.19,4814.78,5003.33,500715.45
2007/11/30,4993.74,4993.74,4861.86,4871.78,433146.62
2007/12/3,4838.56,4899.67,4798.01,4868.61,537507.75
2007/12/4,4882.15,4971.4,4882.15,4915.89,428357.66
2007/12/5,4917.37,5052.75,4893.32,5042.65,542997.86
2007/12/6,5055.84,5065.51,4995.47,5035.07,431593.11
2007/12/7,5038.48,5096.8,5021.37,5091.76,499615.74
2007/12/10,5010.83,5168.76,4990.72,5161.92,688178.89
2007/12/11,5180.54,5209.71,5103.75,5175.08,668484.27
2007/12/12,5148.25,5149.93,5054.57,5095.54,721562.27
2007/12/13,5078.18,5095.15,4954.36,4958.04,672833.24
2007/12/14,4899.75,5011.2,4860.16,5007.91,530527.27
2007/12/17,5007.29,5007.35,4874.62,4876.76,635467.22
2007/12/18,4856.47,4905.49,4812.16,4836.17,405580.47
2007/12/19,4878.07,4960.42,4868.35,4941.78,562757.75
2007/12/20,4965.29,5050.79,4923.3,5043.54,577426.89
2007/12/21,5017.2,5112.39,5013.76,5101.78,661427.05
2007/12/24,5132.91,5284.34,5104.65,5234.26,850804.22
2007/12/25,5233.18,5254.41,5178.8,5201.18,710236.24
2007/12/26,5209.04,5262.59,5158.76,5233.35,744586.28
2007/12/27,5248.22,5316.52,5203.5,5308.89,873241.84
2007/12/28,5320.01,5336.5,5248.69,5261.56,771870.38
2008/1/2,5265,5295.02,5201.89,5272.81,765666.09
2008/1/3,5269.8,5321.46,5211.05,5319.86,985103.23
2008/1/4,5328.41,5372.46,5318.46,5361.57,808752.38
2008/1/7,5357.45,5403.35,5332.6,5393.34,919330.01
2008/1/8,5414.56,5480.07,5344.65,5386.53,1024778.63
2008/1/9,5365.22,5437.76,5346.85,5435.81,768058.62
2008/1/10,5449.16,5483.83,5407.31,5456.54,965532.85
2008/1/11,5471.39,5500.06,5423.81,5484.68,877247.5
2008/1/14,5507.58,5522.78,5456.93,5497.9,787140.9
2008/1/15,5503.93,5505.04,5405.6,5443.79,807195.06
2008/1/16,5395.28,5396.04,5288.77,5290.61,892783.41
2008/1/17,5235.91,5312.29,5039.79,5151.63,989419.52
2008/1/18,5141.37,5187.61,5093.13,5180.51,686356.25
2008/1/21,5188.8,5200.93,4891.29,4914.44,756439.58
2008/1/22,4818,4818,4511.95,4559.75,924913.51
2008/1/23,4572.9,4705.07,4510.5,4703.05,879639.73
2008/1/24,4753.45,4767.8,4625.46,4717.73,900381.58
2008/1/25,4716.98,4806.89,4657.71,4761.69,779283.7
2008/1/28,4720.56,4720.56,4409.08,4419.29,693502.57
2008/1/29,4426.27,4517.6,4389.52,4457.94,503562.2
2008/1/30,4505.64,4554.34,4330.7,4417.85,550800.37
2008/1/31,4408.02,4487.32,4368.3,4383.39,451415.58
2008/2/1,4388.25,4411.7,4195.75,4320.77,593071.42
2008/2/4,4415.02,4672.21,4415.02,4672.17,633745.78
